id, title, releaseYear
863,King Kong,1933
864,Lawrence of Arabia,1962
865,The Magnificent Ambersons,1942
866,My Darling Clementine,1946
867,Out of the Past,1947
868,A Place in the Sun,1951
869,The Poor Little Rich Girl,1917
870,The Prisoner of Zenda,1937
871,Shadow of a Doubt,1943
872,"Sherlock, Jr.",1924
873,Tevye,1939
874,Trouble in Paradise,1932
875,All About Eve,1950
876,All Quiet on the Western Front,1930
877,Bringing Up Baby,1938
878,Dodsworth,1936
879,Duck Soup,1933
880,Fantasia,1940
881,The Freshman,1925
882,The Godfather,1972
883,The Great Train Robbery,1903
884,"Harlan County, U.S.A.",1976
885,How Green Was My Valley,1941
886,It's a Wonderful Life,1946
887,Killer of Sheep,1977
888,Love Me Tonight,1932
889,Meshes of the Afternoon,1943
890,Ninotchka,1939
891,Primary,1960
892,Raging Bull,1980
893,Rebel Without a Cause,1955
894,Red River,1948
895,The River,1938
896,Sullivan’s Travels,1941
897,Top Hat,1935
898,The Treasure of the Sierra Madre,1948
899,A Woman Under the Influence,1974
900,The Best Years of Our Lives,1946
901,Casablanca,1942
902,Citizen Kane,1941
903,The Crowd,1928
904,Dr. Strangelove,1964
905,The General,1927
906,Gone With the Wind,1939
907,The Grapes of Wrath,1940
908,High Noon,1952
909,Intolerance,1916
910,The Learning Tree,1969
911,The Maltese Falcon,1941
912,Modern Times,1936
913,Mr. Smith Goes to Washington,1939
914,Nanook of the North,1922
915,On the Waterfront,1954
916,The Searchers,1956
917,Singin' in the Rain,1952
918,Snow White and the Seven Dwarfs,1937
919,Some Like It Hot,1959
920,Star Wars,1977
921,Sunrise,1927
922,Sunset Boulevard,1950
923,Vertigo,1958
924,The Wizard of Oz,1939
925,Band of Brothers,2001
926,Planet Earth,2006
927,The Shawshank Redemption,1994
928,The Dark Knight,2008
929,12 Angry Men,1957
930,Fight Club,1999
931,The Lord of the Rings: The Two Towers,2002
932,The Matrix,1999
933,Star Wars: Episode V - The Empire Strikes Back,1980
934,It's a Wonderful Life,1946
935,The Green Mile,1999
936,Se7en,1995
937,Star Wars,1977
938,Saving Private Ryan,1998
939,City of God,2002
940,Life Is Beautiful,1997
941,The Departed,2006
942,Gladiator,2000
943,The Usual Suspects,1995
944,Memento,2000
945,The Lion King,1994
946,American History X,1998
947,American Beauty,1999
948,The Lives of Others,2006
949,Robin Williams Live on Broadway,2002
950,Batman Begins,2005
951,Inglourious Basterds,2009
952,Good Will Hunting,1997
953,L.A. Confidential,1997
954,Snatch,2000
955,Star Wars: Episode VI - Return of the Jedi,1983
956,Toy Story,1995
957,The Pacific,2010
958,Lawrence of Arabia,1962
959,Shutter Island,2010
960,V for Vendetta,2005
961,The Truman Show,1998
962,A Beautiful Mind,2001
963,"Lock, Stock and Two Smoking Barrels",1998
964,Stand by Me,1986
965,Pirates of the Caribbean: The Curse of the Black Pearl,2003
966,Catch Me If You Can,2002
967,The Incredibles,2004
968,Into the Wild,2007
969,The Sound of Music,1965
970,"Monsters, Inc.",2001
971,Gran Torino,2008
972,Hotel Rwanda,2004
973,The Princess Bride,1987
974,Casino Royale,2006
975,Star Trek,2009
976,Blood Diamond,2006
977,Slumdog Millionaire,2008
978,The Bourne Ultimatum,2007
979,Sicko,2007
980,Avatar,2009
981,Boogie Nights,1997
982,Iron Man,2008
983,The Bourne Identity,2002
984,Children of Men,2006
985,Shaun of the Dead,2004
986,Toy Story 2,1999
987,"Crash,I",2004
988,The Last Samurai,2003
989,Hot Fuzz,2007
990,The Fugitive,1993
991,Glory,1989
992,The Motorcycle Diaries,2004
993,61*,2001
994,Harry Potter and the Goblet of Fire,2005
995,The Hangover,2009
996,Office Space,1999
997,The Butterfly Effect,2004
998,The Machinist,2004
999,Blazing Saddles,1974
1000,The Count of Monte Cristo,2002
1001,Minority Report,2002
1002,First Blood,1982
1003,The Bourne Supremacy,2004
1004,The Boondock Saints,1999
1005,Apollo 13,1995
1006,The Magnificent Seven,1960
1007,Lucky Number Slevin,2006
1008,300,2006
1009,Harry Potter and the Sorcerer's Stone,2001
1010,Star Wars: Episode III - Revenge of the Sith,2005
1011,Dazed and Confused,1993
1012,Superbad,2007
1013,Inside Man,2006
1014,Sherlock Holmes,2009
1015,Gone Baby Gone,2007
1016,Lord of War,2005
1017,Traffic,2000
1018,Thank You for Smoking,2005
1019,28 Days Later...,2002
1020,High Fidelity,2000
1021,The Aviator,2004
1022,Collateral,2004
1023,Blow,2001
1024,Contact,1997
1025,The Great Train Robbery,1903
1026,Intolerance,1916
1027,Safety Last!,1923
1028,Sherlock Jr.,1924
1029,The Gold Rush,1925
1030,Body and Soul,1925
1031,The Son of the Sheik,1926
1032,Sparrows,1926
1033,IT,1927
1034,The Jazz Singer,1927
1035,The Lodger: A Story of the London Fog,1927
1036,Lights of New York,1928
1037,Steamboat Willie,1928
1038,The CameraMan,1928
1039,The Kiss,1929
1040,The Hollywood Revue of 1929,1929
1041,A Lady To Love,1930
1042,Anna Christie,1930
1043,Animal Crackers,1930
1044,The Big House,1930
1045,The Blue Angel,1930
1046,Morocco,1930
1047,Bubbles,1930
1048,All Quiet on the Western Frontier,1930
1049,West of Broadway,1931
1050,Dracula,1931
1051,Frankenstein,1931
1052,Monkey Business,1931
1053,Blonde Crazy,1931
1054,Laughing Sinners,1931
1055,Little Caeser,1931
1056,The Public Enemy,1931
1057,The Champ,1931
1058,Possessed,1931
1059,City Lights,1931
1060,Grand Hotel,1932
1061,The Mummy,1932
1062,Horse Feathers,1932
1063,Red-Headed Woman,1932
1064,Scarface,1932
1065,Blonde Venus,1932
1066,Red Dust,1932
1067,Queen Christina,1933
1068,The Invisble Man,1933
1069,King Kong,1933
1070,Duck Soup,1933
1071,Gold Diggers of 1933,1933
1072,Footlight Parade,1933
1073,42nd Street,1933
1074,Baby Face,1933
1075,She Done Him Wrong,1933
1076,I'm No Angel,1933
1077,It Happened One Night,1934
